PropertyDisplayName,RegistryKeyword,CommonAcrossTargets,VariantAcrossTargets,DiscoveredValues,ProposedRiskClass,ProposedTestMode,AcceptanceStatus,Notes,ApplyAllowed,AcceptedModes,OperatorVisible,Coverage,PresentTargets,MissingTargets,InterfaceDescriptions,CurrentValuesSeen,PossibleDisplayValues,Rationale
Transmit Power,IbssTxPower,TRUE,FALSE,1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest,medium,WriteOnly,live-tested,"Successful staged GUI WriteOnly apply, read-back, and rollback verification on .221 and on the .221/.222 subset.",TRUE,WriteOnly,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,5. Highest,1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest,
U-APSD support,uAPSDSupport,TRUE,FALSE,Disabled; Enabled,low,WriteOnly; RestartBE200,live-tested,Low-risk power-save toggle with successful staged GUI apply and rollback.,TRUE,WriteOnly; RestartBE200,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Disabled,Disabled; Enabled,
802.11a/b/g Wireless Mode,WirelessMode,TRUE,TRUE,1. 5GHz  802.11a; 2. 2.4GHz 802.11b; 3. 2.4GHz 802.11g; 4. 2.4GHz 802.11b/g; 5. Dual Band 802.11a/g; 6. Dual Band 802.11a/b/g,high,ValidationOnly,validation-only,Legacy wireless mode forcing remains validation-only because of broader compatibility risk.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,1. 5GHz  802.11a; 6. Dual Band 802.11a/b/g,1. 5GHz  802.11a; 2. 2.4GHz 802.11b; 3. 2.4GHz 802.11g; 4. 2.4GHz 802.11b/g; 5. Dual Band 802.11a/g; 6. Dual Band 802.11a/b/g,
802.11n/ac/ax/be Wireless Mode,IEEE11nMode,TRUE,TRUE,1. Disabled; 2. 802.11n; 3. 802.11ac; 4. 802.11ax; 5. 802.11be,high,ValidationOnly,validation-only,PHY mode forcing can materially alter connectivity and is not accepted for live apply.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,4. 802.11ax; 5. 802.11be,1. Disabled; 2. 802.11n; 3. 802.11ac; 4. 802.11ax; 5. 802.11be,
Ultra High Band (6GHz),Is6GhzBandSupported,TRUE,FALSE,Disabled; Enabled,high,ValidationOnly,validation-only,Band-capability changes can materially alter behavior and remain validation-only.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
*IfType,*IfType,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*IPChecksumOffloadIPv4,*IPChecksumOffloadIPv4,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*LsoV2IPv4,*LsoV2IPv4,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*LsoV2IPv6,*LsoV2IPv6,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*MediaType,*MediaType,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*MiracastSupported,*MiracastSupported,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*PhysicalMediaType,*PhysicalMediaType,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*TCPChecksumOffloadIPv4,*TCPChecksumOffloadIPv4,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*TCPChecksumOffloadIPv6,*TCPChecksumOffloadIPv6,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*UDPChecksumOffloadIPv4,*UDPChecksumOffloadIPv4,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*UDPChecksumOffloadIPv6,*UDPChecksumOffloadIPv6,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*UsoIPv4,*UsoIPv4,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
*UsoIPv6,*UsoIPv6,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
AdapterModel,AdapterModel,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
ARP offload for WoWLAN,*PMARPOffload,TRUE,FALSE,Disabled; Enabled,high,Deferred,deferred,WoWLAN ARP offload remains deferred in operator scope.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
AtomMaxDpcTime,AtomMaxDpcTime,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
BaEnable,BaEnable,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
BusType,BusType,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
ChannelMaskBand24B,ChannelMaskBand24B,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
ChannelMaskBand24G,ChannelMaskBand24G,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
ChannelMaskBand52,ChannelMaskBand52,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
ChannelMaskBand52J,ChannelMaskBand52J,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
Characteristics,Characteristics,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
CLSGUID,CLSGUID,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
ComponentId,ComponentId,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
CtdpSupported,CtdpSupported,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
DeviceInstanceID,DeviceInstanceID,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
DriverDate,DriverDate,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
DriverDesc,DriverDesc,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
DriverVersion,DriverVersion,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
DrvInitInProg,DrvInitInProg,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
DuplicateRateSupported,DuplicateRateSupported,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
ExternalImage,ExternalImage,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
FixedSupportedHtRates,FixedSupportedHtRates,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
FixedSupportedRates,FixedSupportedRates,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
GreenFieldCapable,GreenFieldCapable,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
GTK rekeying for WoWLAN,*PMWiFiRekeyOffload,TRUE,FALSE,Disabled; Enabled,high,Deferred,deferred,WoWLAN GTK rekey behavior remains deferred in operator scope.,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,
HardwareVersion,HardwareVersion,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
HePhyCapabilitiesDword0,HePhyCapabilitiesDword0,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
IfTypePreStart,IfTypePreStart,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
InfPath,InfPath,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
InfSection,InfSection,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
LastIoMapSuccessBarHigh,LastIoMapSuccessBarHigh,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
LastIoMapSuccessBarLow,LastIoMapSuccessBarLow,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
LprxEnable,LprxEnable,TRUE,FALSE,,high,Deferred,deferred,Registry-only or informational property without a stable operator-facing label.,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,
