Property,RegistryKeyword,PropertyDisplayName,Classification,Risk,ApplyAllowed,AcceptedModes,OperatorVisible,Coverage,PresentTargets,MissingTargets,InterfaceDescriptions,CurrentValuesSeen,PossibleDisplayValues,Rationale
Transmit Power,IbssTxPower,Transmit Power,validation-only,medium,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,5. Highest,1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest,Transmit power affects RF behavior and remains validation-only in this pass.
Ultra High Band (6GHz),Is6GhzBandSupported,Ultra High Band (6GHz),validation-only,high,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,Band-capability changes can materially alter behavior and remain validation-only.
*IfType,*IfType,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*IPChecksumOffloadIPv4,*IPChecksumOffloadIPv4,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*LsoV2IPv4,*LsoV2IPv4,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*LsoV2IPv6,*LsoV2IPv6,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*MediaType,*MediaType,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*MiracastSupported,*MiracastSupported,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*PhysicalMediaType,*PhysicalMediaType,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*TCPChecksumOffloadIPv4,*TCPChecksumOffloadIPv4,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*TCPChecksumOffloadIPv6,*TCPChecksumOffloadIPv6,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*UDPChecksumOffloadIPv4,*UDPChecksumOffloadIPv4,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*UDPChecksumOffloadIPv6,*UDPChecksumOffloadIPv6,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*UsoIPv4,*UsoIPv4,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
*UsoIPv6,*UsoIPv6,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
AdapterModel,AdapterModel,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
ARP offload for WoWLAN,*PMARPOffload,ARP offload for WoWLAN,deferred,high,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,WoWLAN ARP offload remains deferred in operator scope.
AtomMaxDpcTime,AtomMaxDpcTime,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
BaEnable,BaEnable,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
BusType,BusType,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
ChannelMaskBand24B,ChannelMaskBand24B,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
ChannelMaskBand24G,ChannelMaskBand24G,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
ChannelMaskBand52,ChannelMaskBand52,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
ChannelMaskBand52J,ChannelMaskBand52J,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
Characteristics,Characteristics,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
CLSGUID,CLSGUID,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
ComponentId,ComponentId,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
CtdpSupported,CtdpSupported,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
DeviceInstanceID,DeviceInstanceID,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
DriverDate,DriverDate,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
DriverDesc,DriverDesc,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
DriverVersion,DriverVersion,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
DrvInitInProg,DrvInitInProg,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
DuplicateRateSupported,DuplicateRateSupported,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
ExternalImage,ExternalImage,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
FixedSupportedHtRates,FixedSupportedHtRates,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
FixedSupportedRates,FixedSupportedRates,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
GreenFieldCapable,GreenFieldCapable,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
GTK rekeying for WoWLAN,*PMWiFiRekeyOffload,GTK rekeying for WoWLAN,deferred,high,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,WoWLAN GTK rekey behavior remains deferred in operator scope.
HardwareVersion,HardwareVersion,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
HePhyCapabilitiesDword0,HePhyCapabilitiesDword0,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
IfTypePreStart,IfTypePreStart,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
InfPath,InfPath,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
InfSection,InfSection,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
LastIoMapSuccessBarHigh,LastIoMapSuccessBarHigh,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
LastIoMapSuccessBarLow,LastIoMapSuccessBarLow,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
LprxEnable,LprxEnable,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
MatchingDeviceId,MatchingDeviceId,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
MaxDpcTime,MaxDpcTime,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
ModulationType,ModulationType,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
NetCfgInstanceId,NetCfgInstanceId,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
NetLuidIndex,NetLuidIndex,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
NetworkInterfaceInstallTimestamp,NetworkInterfaceInstallTimestamp,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
NS offload for WoWLAN,*PMNSOffload,NS offload for WoWLAN,deferred,high,FALSE,,TRUE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,Enabled,Disabled; Enabled,WoWLAN NS offload remains deferred in operator scope.
NumberOfNetworkInterfaces,NumberOfNetworkInterfaces,,deferred,high,FALSE,,FALSE,8,192.168.22.221; 192.168.22.222; 192.168.22.223; 192.168.22.224; 192.168.22.225; 192.168.22.226; 192.168.22.227; 192.168.22.228,,Intel(R) Wi-Fi 7 BE200 320MHz; Intel(R) Wi-Fi 7 BE200 320MHz #6,,,Registry-only or informational property without a stable operator-facing label.
